id,date,state,statename,deaths,hospitalizedCurrently,positive,totalTestResults,,,,,,,State Name,Abbrev
82,20200910,MO,Missouri,1691,0,97591,1083924,,,,,,,,
83,20200910,MP,Northern Marianas,2,4,59,14375,,,,,,,,
84,20200910,MS,Mississippi,2656,5410,88322,613238,,,,,,,,
85,20200910,MT,Montana,123,512,8663,273353,,,,,,,,
86,20200910,NC,North Carolina,2990,0,180754,2521839,,,,,,,,
87,20200910,ND,North Dakota,131,624,14443,500924,,,,,,,,
88,20200910,NE,Nebraska,421,2108,36917,390318,,,,,,,,
89,20200910,NH,New Hampshire,434,719,7573,225659,,,,,,,,
90,20200910,NJ,New Jersey,16014,22888,195414,3113654,,,,,,,,
91,20200910,NM,New Mexico,813,3219,26268,803101,,,,,,,,
92,20200910,NV,Nevada,1429,0,72546,627319,,,,,,,,
93,20200910,NY,New York,25377,89995,441911,9052978,,,,,,,,
94,20200910,OH,Ohio,4354,14164,134086,2490351,,,,,,,,
95,20200910,OK,Oklahoma,876,5318,66700,961710,,,,,,,,
96,20200910,OR,Oregon,497,2222,28654,596988,,,,,,,,
97,20200910,PA,Pennsylvania,7820,0,141877,1781226,,,,,,,,
98,20200910,PR,Puerto Rico,512,0,36279,342251,,,,,,,,
99,20200910,RI,Rhode Island,1067,2611,22782,606906,,,,,,,,
100,20200910,SC,South Carolina,2975,8295,126592,1032459,,,,,,,,
101,20200910,SD,South Dakota,177,1120,15834,159250,,,,,,,,
102,20200910,TN,Tennessee,1988,7549,168237,2393040,,,,,,,,
103,20200910,TX,Texas,13853,0,649809,5405257,,,,,,,,
104,20200910,UT,Utah,430,3273,56019,703766,,,,,,,,
105,20200910,VA,Virginia,2708,17157,130525,1716462,,,,,,,,
106,20200910,VI,Virgin Islands,18,0,1197,17865,,,,,,,,
107,20200910,VT,Vermont,58,0,1661,147306,,,,,,,,
108,20200910,WA,Washington,1985,6993,78467,1597987,,,,,,,,
109,20200910,WI,Wisconsin,1201,6222,90182,1335630,,,,,,,,
110,20200910,WV,West Virginia,257,0,12017,467790,,,,,,,,
111,20200910,WY,Wyoming,42,224,4199,85299,,,,,,,,
112,20200909,AK,Alaska,42,0,6790,391937,,,,,,,,
113,20200909,AL,Alabama,2285,15339,134417,998399,,,,,,,,
114,20200909,AR,Arkansas,928,4574,67255,784228,,,,,,,,
115,20200909,AS,American Samoa,0,0,0,1571,,,,,,,,
116,20200909,AZ,Arizona,5251,21593,206541,1269197,,,,,,,,
117,20200909,CA,California,13841,0,739527,12343797,,,,,,,,
118,20200909,CO,Colorado,1868,7161,59674,1073979,,,,,,,,
119,20200909,CT,Connecticut,4474,11275,53871,1292847,,,,,,,,
120,20200909,DC,District of Columbia,615,0,14387,317660,,,,,,,,
121,20200909,DE,Delaware,609,0,18308,253970,,,,,,,,
122,20200909,FL,Florida,12269,40985,652148,4831248,,,,,,,,
123,20200909,GA,Georgia,6128,25845,287287,2527779,,,,,,,,
124,20200909,GU,#N/A,21,0,1758,42095,,,,,,,,
125,20200909,HI,Hawaii,88,599,10025,237786,,,,,,,,
126,20200909,IA,Iowa,1194,0,69503,661575,,,,,,,,
127,20200909,ID,Idaho,389,1502,33981,270534,,,,,,,,
128,20200909,IL,Illinois,8433,0,255618,4528667,,,,,,,,
129,20200909,IN,Indiana,3397,11528,101485,1158018,,,,,,,,
130,20200909,KS,Kansas,495,2470,47410,441414,,,,,,,,
131,20200909,KY,Kentucky,1013,4777,53977,878290,,,,,,,,
132,20200909,LA,Louisiana,5140,0,155890,1999962,,,,,,,,
133,20200909,MA,Massachusetts,9146,12387,123143,2798585,,,,,,,,
134,20200909,MD,Maryland,3816,14672,113575,1415522,,,,,,,,
135,20200909,ME,Maine,134,429,4734,309725,,,,,,,,
136,20200909,MI,Michigan,6887,0,119863,3003277,,,,,,,,
137,20200909,MN,Minnesota,1921,6792,81868,1204193,,,,,,,,
138,20200909,MO,Missouri,1673,0,96475,1070909,,,,,,,,
139,20200909,MP,Northern Marianas,2,4,59,13543,,,,,,,,
140,20200909,MS,Mississippi,2623,5410,87805,609638,,,,,,,,
141,20200909,MT,Montana,122,509,8468,271150,,,,,,,,
142,20200909,NC,North Carolina,2958,0,179532,2490113,,,,,,,,
143,20200909,ND,North Dakota,129,611,14110,494769,,,,,,,,
144,20200909,NE,Nebraska,406,2089,36477,385349,,,,,,,,
145,20200909,NH,New Hampshire,433,718,7494,222963,,,,,,,,
146,20200909,NJ,New Jersey,16009,22854,194990,3091149,,,,,,,,
147,20200909,NM,New Mexico,807,3202,26181,799673,,,,,,,,
148,20200909,NV,Nevada,1412,0,72258,624874,,,,,,,,
149,20200909,NY,New York,25370,89995,441154,8976165,,,,,,,,
150,20200909,OH,Ohio,4324,14083,132965,2470564,,,,,,,,
151,20200909,OK,Oklahoma,863,5253,65929,953536,,,,,,,,
152,20200909,OR,Oregon,494,2215,28471,594077,,,,,,,,
153,20200909,PA,Pennsylvania,7805,0,141290,1766930,,,,,,,,
154,20200909,PR,Puerto Rico,500,0,35507,341479,,,,,,,,
155,20200909,RI,Rhode Island,1062,2604,22676,598317,,,,,,,,
156,20200909,SC,South Carolina,2942,8236,126213,1017319,,,,,,,,
157,20200909,SD,South Dakota,173,1109,15571,157889,,,,,,,,
158,20200909,TN,Tennessee,1931,7444,166587,2367502,,,,,,,,
159,20200909,TX,Texas,13692,0,645791,5372132,,,,,,,,
160,20200909,UT,Utah,427,3263,55673,698541,,,,,,,,
161,20200909,VA,Virginia,2697,17039,129289,1700004,,,,,,,,
162,20200909,VI,Virgin Islands,18,0,1191,17444,,,,,,,,
163,20200909,VT,Vermont,58,0,1656,147170,,,,,,,,
164,20200909,WA,Washington,1978,6966,78009,1583903,,,,,,,,
165,20200909,WI,Wisconsin,1191,6173,88590,1326763,,,,,,,,
166,20200909,WV,West Virginia,254,0,11808,463930,,,,,,,,
167,20200909,WY,Wyoming,42,221,4151,84835,,,,,,,,
168,20200908,AK,Alaska,42,0,6724,391656,,,,,,,,
169,20200908,AL,Alabama,2277,15137,133606,992395,,,,,,,,
170,20200908,AR,Arkansas,917,4524,66757,783730,,,,,,,,
171,20200908,AS,American Samoa,0,0,0,1571,,,,,,,,
172,20200908,AZ,Arizona,5221,21522,206045,1266599,,,,,,,,
173,20200908,CA,California,13758,0,737911,12267948,,,,,,,,
174,20200908,CO,Colorado,1866,7142,59487,1069606,,,,,,,,
175,20200908,CT,Connecticut,4474,11275,53782,1286887,,,,,,,,
176,20200908,DC,District of Columbia,611,0,14362,316598,,,,,,,,
177,20200908,DE,Delaware,609,0,18308,253970,,,,,,,,
178,20200908,FL,Florida,12067,40661,650092,4816873,,,,,,,,
179,20200908,GA,Georgia,6070,25589,285350,2511826,,,,,,,,
180,20200908,GU,#N/A,19,0,1713,41412,,,,,,,,
181,20200908,HI,Hawaii,86,598,9959,237012,,,,,,,,
182,20200908,IA,Iowa,1180,0,69139,658977,,,,,,,,
183,20200908,ID,Idaho,385,1468,33741,269238,,,,,,,,
184,20200908,IL,Illinois,8405,0,254281,4480638,,,,,,,,
185,20200908,IN,Indiana,3380,11467,100780,1150863,,,,,,,,
186,20200908,KS,Kansas,485,2441,46914,436686,,,,,,,,
187,20200908,KY,Kentucky,997,4730,53319,870650,,,,,,,,
188,20200908,LA,Louisiana,5118,0,154329,1968354,,,,,,,,
189,20200908,MA,Massachusetts,9141,12368,122962,2758384,,,,,,,,
190,20200908,MD,Maryland,3807,14636,113239,1410598,,,,,,,,
191,20200908,ME,Maine,134,429,4713,302706,,,,,,,,
192,20200908,MI,Michigan,6811,0,118902,2980084,,,,,,,,
193,20200908,MN,Minnesota,1914,6760,81608,1201870,,,,,,,,
194,20200908,MO,Missouri,1661,0,95113,1061230,,,,,,,,
195,20200908,MP,Northern Marianas,2,4,59,13543,,,,,,,,
196,20200908,MS,Mississippi,2585,5410,87379,606461,,,,,,,,
197,20200908,MT,Montana,119,502,8381,268780,,,,,,,,
198,20200908,NC,North Carolina,2909,0,178635,2469977,,,,,,,,
199,20200908,ND,North Dakota,129,604,13872,491742,,,,,,,,
200,20200908,NE,Nebraska,404,2079,35975,378300,,,,,,,,
201,20200908,NH,New Hampshire,433,718,7494,222963,,,,,,,,
202,20200908,NJ,New Jersey,15996,22812,194667,3070746,,,,,,,,
203,20200908,NM,New Mexico,807,3195,26144,795247,,,,,,,,
204,20200908,NV,Nevada,1393,0,72104,624052,,,,,,,,
205,20200908,NY,New York,25367,89995,440578,8912935,,,,,,,,
206,20200908,OH,Ohio,4298,13967,131992,2449545,,,,,,,,
207,20200908,OK,Oklahoma,854,5137,65053,925139,,,,,,,,
208,20200908,OR,Oregon,486,2206,28355,591499,,,,,,,,
209,20200908,PA,Pennsylvania,7791,0,140359,1755076,,,,,,,,
210,20200908,PR,Puerto Rico,482,0,35504,341476,,,,,,,,
211,20200908,RI,Rhode Island,1059,2589,22592,582612,,,,,,,,
212,20200908,SC,South Carolina,2912,8182,125908,1014151,,,,,,,,
213,20200908,SD,South Dakota,173,1094,15403,156686,,,,,,,,
214,20200908,TN,Tennessee,1896,7355,165754,2350991,,,,,,,,
215,20200908,TX,Texas,13553,0,641791,5339126,,,,,,,,
216,20200908,UT,Utah,424,3242,55359,695347,,,,,,,,
217,20200908,VA,Virginia,2686,16831,128407,1689744,,,,,,,,
218,20200908,VI,Virgin Islands,18,0,1191,17444,,,,,,,,
219,20200908,VT,Vermont,58,0,1654,146782,,,,,,,,
220,20200908,WA,Washington,1953,6860,77235,1563053,,,,,,,,
221,20200908,WI,Wisconsin,1176,6118,87677,1317836,,,,,,,,
222,20200908,WV,West Virginia,250,0,11661,462760,,,,,,,,
223,20200908,WY,Wyoming,42,219,4103,81469,,,,,,,,
224,20200907,AK,Alaska,42,0,6690,388621,,,,,,,,
225,20200907,AL,Alabama,2276,14914,132973,987995,,,,,,,,
226,20200907,AR,Arkansas,908,4486,66280,772813,,,,,,,,
227,20200907,AS,American Samoa,0,0,0,1514,,,,,,,,
228,20200907,AZ,Arizona,5219,21525,205964,1263397,,,,,,,,
229,20200907,CA,California,13726,0,735235,12158292,,,,,,,,
230,20200907,CO,Colorado,1866,7138,59274,1059557,,,,,,,,
231,20200907,CT,Connecticut,4468,11275,53365,1237658,,,,,,,,
232,20200907,DC,District of Columbia,611,0,14315,313715,,,,,,,,
233,20200907,DE,Delaware,609,0,18249,252602,,,,,,,,
234,20200907,FL,Florida,12023,40547,648269,4801684,,,,,,,,
235,20200907,GA,Georgia,6044,25538,283807,2488841,,,,,,,,
236,20200907,GU,#N/A,18,0,1671,40741,,,,,,,,
237,20200907,HI,Hawaii,85,597,9855,234903,,,,,,,,
238,20200907,IA,Iowa,1168,0,68684,655846,,,,,,,,
239,20200907,ID,Idaho,385,1466,33667,268189,,,,,,,,
240,20200907,IL,Illinois,8398,0,252889,4449275,,,,,,,,
241,20200907,IN,Indiana,3368,11410,100394,1146572,,,,,,,,
242,20200907,KS,Kansas,485,2441,46914,436686,,,,,,,,
243,20200907,KY,Kentucky,996,4728,53064,869233,,,,,,,,
244,20200907,LA,Louisiana,5105,0,154073,1964229,,,,,,,,
245,20200907,MA,Massachusetts,9133,12357,122791,2728153,,,,,,,,
246,20200907,MD,Maryland,3804,14603,112883,1405189,,,,,,,,
247,20200907,ME,Maine,134,427,4701,300032,,,,,,,,
