id,date,state,statename,deaths,hospitalizedCurrently,positive,totalTestResults
134,20200909,MD,,3816,14672,113575,1415522
135,20200909,ME,,134,429,4734,309725
136,20200909,MI,,6887,0,119863,3003277
137,20200909,MN,,1921,6792,81868,1204193
138,20200909,MO,,1673,0,96475,1070909
139,20200909,MP,,2,4,59,13543
140,20200909,MS,,2623,5410,87805,609638
141,20200909,MT,,122,509,8468,271150
142,20200909,NC,,2958,0,179532,2490113
143,20200909,ND,,129,611,14110,494769
144,20200909,NE,,406,2089,36477,385349
145,20200909,NH,,433,718,7494,222963
146,20200909,NJ,,16009,22854,194990,3091149
147,20200909,NM,,807,3202,26181,799673
148,20200909,NV,,1412,0,72258,624874
149,20200909,NY,,25370,89995,441154,8976165
150,20200909,OH,,4324,14083,132965,2470564
151,20200909,OK,,863,5253,65929,953536
152,20200909,OR,,494,2215,28471,594077
153,20200909,PA,,7805,0,141290,1766930
154,20200909,PR,,500,0,35507,341479
155,20200909,RI,,1062,2604,22676,598317
156,20200909,SC,,2942,8236,126213,1017319
157,20200909,SD,,173,1109,15571,157889
158,20200909,TN,,1931,7444,166587,2367502
159,20200909,TX,,13692,0,645791,5372132
160,20200909,UT,,427,3263,55673,698541
161,20200909,VA,,2697,17039,129289,1700004
162,20200909,VI,,18,0,1191,17444
163,20200909,VT,,58,0,1656,147170
164,20200909,WA,,1978,6966,78009,1583903
165,20200909,WI,,1191,6173,88590,1326763
166,20200909,WV,,254,0,11808,463930
167,20200909,WY,,42,221,4151,84835
168,20200908,AK,,42,0,6724,391656
169,20200908,AL,,2277,15137,133606,992395
170,20200908,AR,,917,4524,66757,783730
171,20200908,AS,,0,0,0,1571
172,20200908,AZ,,5221,21522,206045,1266599
173,20200908,CA,,13758,0,737911,12267948
174,20200908,CO,,1866,7142,59487,1069606
175,20200908,CT,,4474,11275,53782,1286887
176,20200908,DC,,611,0,14362,316598
177,20200908,DE,,609,0,18308,253970
178,20200908,FL,,12067,40661,650092,4816873
179,20200908,GA,,6070,25589,285350,2511826
180,20200908,GU,,19,0,1713,41412
181,20200908,HI,,86,598,9959,237012
182,20200908,IA,,1180,0,69139,658977
183,20200908,ID,,385,1468,33741,269238
184,20200908,IL,,8405,0,254281,4480638
185,20200908,IN,,3380,11467,100780,1150863
186,20200908,KS,,485,2441,46914,436686
187,20200908,KY,,997,4730,53319,870650
188,20200908,LA,,5118,0,154329,1968354
189,20200908,MA,,9141,12368,122962,2758384
190,20200908,MD,,3807,14636,113239,1410598
191,20200908,ME,,134,429,4713,302706
192,20200908,MI,,6811,0,118902,2980084
193,20200908,MN,,1914,6760,81608,1201870
194,20200908,MO,,1661,0,95113,1061230
195,20200908,MP,,2,4,59,13543
196,20200908,MS,,2585,5410,87379,606461
197,20200908,MT,,119,502,8381,268780
198,20200908,NC,,2909,0,178635,2469977
199,20200908,ND,,129,604,13872,491742
200,20200908,NE,,404,2079,35975,378300
201,20200908,NH,,433,718,7494,222963
202,20200908,NJ,,15996,22812,194667,3070746
203,20200908,NM,,807,3195,26144,795247
204,20200908,NV,,1393,0,72104,624052
205,20200908,NY,,25367,89995,440578,8912935
206,20200908,OH,,4298,13967,131992,2449545
207,20200908,OK,,854,5137,65053,925139
208,20200908,OR,,486,2206,28355,591499
209,20200908,PA,,7791,0,140359,1755076
210,20200908,PR,,482,0,35504,341476
211,20200908,RI,,1059,2589,22592,582612
212,20200908,SC,,2912,8182,125908,1014151
213,20200908,SD,,173,1094,15403,156686
214,20200908,TN,,1896,7355,165754,2350991
215,20200908,TX,,13553,0,641791,5339126
216,20200908,UT,,424,3242,55359,695347
217,20200908,VA,,2686,16831,128407,1689744
218,20200908,VI,,18,0,1191,17444
219,20200908,VT,,58,0,1654,146782
220,20200908,WA,,1953,6860,77235,1563053
221,20200908,WI,,1176,6118,87677,1317836
222,20200908,WV,,250,0,11661,462760
223,20200908,WY,,42,219,4103,81469
224,20200907,AK,,42,0,6690,388621
225,20200907,AL,,2276,14914,132973,987995
226,20200907,AR,,908,4486,66280,772813
227,20200907,AS,,0,0,0,1514
228,20200907,AZ,,5219,21525,205964,1263397
229,20200907,CA,,13726,0,735235,12158292
230,20200907,CO,,1866,7138,59274,1059557
231,20200907,CT,,4468,11275,53365,1237658
232,20200907,DC,,611,0,14315,313715
233,20200907,DE,,609,0,18249,252602
234,20200907,FL,,12023,40547,648269,4801684
235,20200907,GA,,6044,25538,283807,2488841
236,20200907,GU,,18,0,1671,40741
237,20200907,HI,,85,597,9855,234903
238,20200907,IA,,1168,0,68684,655846
239,20200907,ID,,385,1466,33667,268189
240,20200907,IL,,8398,0,252889,4449275
241,20200907,IN,,3368,11410,100394,1146572
242,20200907,KS,,485,2441,46914,436686
243,20200907,KY,,996,4728,53064,869233
244,20200907,LA,,5105,0,154073,1964229
245,20200907,MA,,9133,12357,122791,2728153
246,20200907,MD,,3804,14603,112883,1405189
247,20200907,ME,,134,427,4701,300032
248,20200907,MI,,6810,0,118403,2962678
249,20200907,MN,,1912,6743,81225,1197675
250,20200907,MO,,1659,0,94340,1054385
251,20200907,MP,,2,4,58,13542
252,20200907,MS,,2585,5326,87130,598051
253,20200907,MT,,118,498,8316,267125
254,20200907,NC,,2897,0,177919,2459582
255,20200907,ND,,125,602,13797,490368
256,20200907,NE,,404,2068,35886,377461
257,20200907,NH,,433,718,7476,222299
258,20200907,NJ,,15991,22802,194390,3054528
259,20200907,NM,,803,3186,26107,791836
260,20200907,NV,,1393,0,71967,622642
